FAKE_DATA,denominator,sex,age_band,measure,interval_start,interval_end,ratio,numerator
FAKE_DATA,21525,male,75 and over,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6736353077816493,14500
FAKE_DATA,4345,male,10 to 17,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6018411967779056,2615
FAKE_DATA,5630,female,35 to 44,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6678507992895204,3760
FAKE_DATA,5760,male,55 to 64,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6701388888888888,3860
FAKE_DATA,4570,female,10 to 17,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6094091903719913,2785
FAKE_DATA,5745,female,65 to 74,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6692776327241079,3845
FAKE_DATA,22940,female,75 and over,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6765475152571927,15520
FAKE_DATA,5895,female,45 to 54,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6556403731976251,3865
FAKE_DATA,5380,male,65 to 74,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6644981412639405,3575
FAKE_DATA,4095,female,18 to 24,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6288156288156288,2575
FAKE_DATA,5790,female,0 to 9,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.4922279792746113,2850
FAKE_DATA,5895,female,55 to 64,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6607294317217981,3895
FAKE_DATA,5525,male,45 to 54,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6669683257918552,3685
FAKE_DATA,5575,male,25 to 34,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6385650224215247,3560
FAKE_DATA,5535,male,35 to 44,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6513098464317977,3605
FAKE_DATA,5695,female,25 to 34,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6488147497805092,3695
FAKE_DATA,3815,male,18 to 24,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.6343381389252949,2420
FAKE_DATA,5400,male,0 to 9,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2016-04-01,2017-03-31,0.4898148148148148,2645
FAKE_DATA,22065,male,75 and over,Table_2_Prevalence_of_ADHD_Diagnosis01_09_2025_16_01,2017-04-01,2018-03-31,0.6750509857239972,14895
