FAKE_DATA,measure,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.1666666666666666,20,120,male,75 and over
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2857142857142857,10,35,male,10 to 17
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2,10,50,female,35 to 44
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.0,0,35,male,55 to 64
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2857142857142857,10,35,female,10 to 17
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.0,0,45,female,65 to 74
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2,40,200,female,75 and over
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.0,0,50,female,45 to 54
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.375,15,40,male,65 to 74
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.0,0,45,female,18 to 24
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.25,15,60,female,0 to 9
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2,10,50,female,55 to 64
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2857142857142857,10,35,male,45 to 54
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.25,10,40,male,25 to 34
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.2222222222222222,10,45,male,35 to 44
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.25,15,60,female,25 to 34
FAKE_DATA,Table_3_without_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_04,2016-04-01,2017-03-31,0.0,0,25,male,18 to 24
